number,name,sex,age,class,score,time
17123456,赵一,男,19,1,1.8,2020/3/30
17123465,钱二,女,19,2,2,2020/3/31
12345618,孙三,女,18,3,3,2020/3/21
12345638,李四,女,21,1,2,2020/3/21
12345628,周五,女,22,2,4,2020/3/10
17182105,吴一,男,19,3,5,2020/3/21
17123678,郑二,男,20,2,2,2020/3/31
17182107,王三,男,16,2,6,2020/3/21
17182108,冯四,男,15,2,7,2020/3/21
15211001,陈五,女,20,1,3,2020/3/11
15041091,褚一,男,21,3,8,2020/3/11
75211104,卫二,男,20,1,2,2020/3/17
15131049,蒋三,男,21,2,9,2020/3/11
15271139,沈四,男,18,2,6,2020/3/11
16011083,韩五,男,17,2,8,2020/3/11
16011123,杨一,男,25,2,5,2020/3/11
16011133,朱二,男,19,1,9,2020/3/11
16031141,秦三,男,10,3,4,2020/3/11
16031171,尤四,男,30,1,2,2020/3/11
12378121,许五,男,10,1,3,2020/3/21
10000001,测试,男,1,1,10,2020/3/11
10000002,测试1,女,2,2,11,2020/3/12
